Country,Geological,Meteorological,Hydrological
Zimbabwe,31,37,37
Zambia,34,1,29
Yemen,34,37,59
Viet Nam,50,51,88
Venezuela,1,1,46
Vanuatu,68,1,37
Uzbekistan,1,1,22
Uruguay,1,50,23
United States,54,92,87
United Kingdom,30,41,16
Uganda,56,35,58
Turkiye,79,82,8
Togo,1,1,18
Thailand,30,41,75
Tanzania,53,1,41
Tajikistan,56,1,7
"Taiwan, China",48,1,34
Syria,1,70,27
Sudan,1,1,64
Sri Lanka,55,32,70
Spain,54,71,6
South Sudan,1,53,64
South Africa,1,62,27
Somalia,1,77,64
Senegal,28,27,40
Rwanda,50,1,19
Russia,1,62,23
Puerto Rico,45,1,19
Philippines,68,49,70
Peru,52,54,47
Paraguay,1,29,37
Papua New Guinea,55,1,27
Pakistan,62,56,66
Nigeria,1,1,63
Niger,1,1,55
Nicaragua,35,22,36
Netherlands,1,42,13
Nepal,60,35,47
Namibia,1,1,23
Myanmar,44,21,57
Mozambique,23,36,49
Mexico,51,41,51
Mali,1,1,20
Malaysia,32,1,42
Malawi,38,1,41
Madagascar,18,36,43
Lao PDR,18,1,29
Korea,28,41,6
Kenya,20,25,43
Kazakhstan,1,22,16
Japan,46,17,45
Italy,40,30,5
Israel,1,43,1
Iraq,25,37,16
Iran,41,36,34
Indonesia,43,28,41
India,39,38,43
Honduras,20,17,36
Haiti,40,1,30
Guinea,15,18,9
Guatemala,36,34,30
Greece,28,34,1
Ghana,1,1,23
Germany,1,20,11
Gambia,1,1,10
France,15,29,4
Fiji,11,1,16
Ethiopia,19,32,28
El Salvador,20,1,10
Ecuador,28,16,8
Dominican Republic,1,1,17
Dem. Rep. Congo,27,21,24
Dem. People's Rep. Korea,1,1,21
Cuba,1,1,25
Croatia,20,9,2
Costa Rica,12,10,4
Congo,12,1,9
Comoros,12,1,3
Colombia,20,8,20
China,21,21,21
Chile,20,17,3
Chad,1,7,16
Central African Republic,1,8,9
Canada,6,16,8
Cameroon,6,1,7
Cambodia,6,7,13
Burundi,7,11,7
Burkina Faso,1,1,7
Brazil,11,10,11
Bosnia and Herzegovina,1,1,4
Bolivia,5,5,7
Benin,1,5,8
Bangladesh,7,1,8
Azerbaijan,6,1,2
Australia,2,5,3
Argentina,2,2,3
Angola,1,3,4
Algeria,1,2,2
Albania,1,1,1
Afghanistan,1,1,1
