Country,Extreme temperature,Drought,Volcanic eruption,Mass movement,Earthquake,Flood,Storm,Wildfire
Abyei Area,0,0,0,0,0,0.903,0,0
Afghanistan,0.828,0.956,0,0.879,0.923,0.957,0.71,0
Albania,0,0,0,0.724,0.895,0.845,0,0
Algeria,0.755,0,0,0,0.855,0.91,0.652,0.806
American Samoa,0,0,0,0,0,0,0.805,0
Angola,0,0.823,0,0,0,0.961,0.859,0
Anguilla,0,0,0,0,0,0,0.717,0
Antigua and Barbuda,0,0,0,0,0,0,0.757,0
Argentina,0,0,0.726,0.771,0.656,0.939,0.833,0.748
Australia,0,0,0,0.664,0.618,0.919,0.916,0.928
Austria,0.642,0,0,0.714,0,0.743,0,0
Azerbaijan,0,0,0,0.709,0.899,0.894,0,0
Bahamas,0,0,0,0,0,0,0.868,0.692
Bangladesh,0,0,0,0.922,0.669,0.992,0.995,0
Barbados,0,0,0,0,0,0,0.723,0
Belgium,0,0,0,0.629,0,0.86,0,0.711
Belize,0,0,0,0,0,0.729,0.837,0
Benin,0,0,0,0,0,0.964,0,0.811
Bermuda,0,0,0,0,0,0,0.653,0
Bhutan,0,0,0,0.647,0.872,0.727,0.785,0.657
Bolivia,0.766,0,0,0.815,0,0.959,0.684,0.742
Bosnia and Herzegovina,0,0,0,0,0,0.928,0,0
Botswana,0,0,0,0,0,0.795,0.804,0
Brazil,0.754,0.836,0,0.925,0.69,0.984,0.962,0.681
British Virgin Islands,0,0,0,0,0,0,0.815,0
Brunei Darussalam,0,0,0,0,0,0.679,0,0
Bulgaria,0,0,0,0,0,0.809,0,0
Burkina Faso,0,0,0,0,0,0.951,0.708,0
Burundi,0,0.826,0,0.808,0,0.945,0.894,0.701
Cabo Verde,0,0,0.777,0,0.699,0.733,0.685,0
Cambodia,0,0,0,0.762,0,0.969,0.949,0.78
Cameroon,0,0,0,0.727,0,0.948,0,0
Canada,0.819,0,0,0.725,0,0.947,0.8,0.952
Cayman Islands,0,0,0,0,0,0,0.734,0
Central African Republic,0,0,0,0,0,0.947,0.888,0.772
Chad,0,0,0,0,0,0.973,0.813,0.707
Chile,0.776,0,0.884,0.893,0.99,0.905,0.71,0.891
China,0.976,0,0,0.937,0.997,0.999,0.998,0.908
Colombia,0,0,0.915,0.902,0.782,0.99,0.877,0.731
Comoros,0,0,0,0,0.788,0.874,0.87,0
Congo,0,0,0,0.788,0,0.944,0,0
Cook Islands,0,0,0,0,0,0.631,0.729,0
Costa Rica,0,0,0.64,0.721,0.774,0.884,0.869,0.723
Côte d'Ivoire,0,0,0,0.838,0,0.84,0.696,0
Croatia,0,0,0,0.639,0.904,0.868,0,0.704
Cuba,0,0,0,0,0,0.878,0.993,0
Cyprus,0,0,0,0,0,0,0,0.672
Czech Republic,0,0,0,0,0,0.888,0.783,0
Dem. People's Rep. Korea,0,0,0,0,0,0.96,0.936,0
Dem. Rep. Congo,0,0,0.967,0.853,0.802,0.978,0.929,0.822
Djibouti,0,0,0,0,0,0.839,0.834,0
Dominica,0,0,0,0,0,0.624,0.898,0
Dominican Republic,0,0,0,0,0,0.93,0.95,0
Ecuador,0,0,0.752,0.766,0.953,0.911,0.674,0.737
Egypt,0,0,0,0.872,0,0.843,0,0.627
El Salvador,0,0,0.772,0.765,0.778,0.918,0.906,0
Eritrea,0,0,0,0,0,0.67,0,0
Eswatini,0,0,0,0,0,0,0.691,0
Ethiopia,0,0.97,0.796,0.756,0,0.984,0.825,0.846
Fiji,0,0,0,0.676,0.644,0.901,0.941,0
Finland,0,0,0,0,0,0.644,0.638,0.655
France,0,0,0,0.73,0.768,0.886,0.848,0.891
French Guiana,0,0,0,0,0,0.677,0,0
French Polynesia,0,0,0,0,0,0.746,0.794,0
Gabon,0,0,0,0,0,0.789,0.745,0
Gambia,0,0,0,0,0,0.907,0.852,0
Georgia,0,0,0,0.64,0,0.769,0.749,0
Germany,0,0,0,0,0,0.921,0.686,0.744
Ghana,0,0,0,0,0,0.952,0.873,0
Greece,0,0,0,0.634,0.866,0.807,0.769,0.924
Greenland,0,0,0,0,0.663,0.682,0,0
Grenada,0,0,0,0,0,0.644,0.683,0
Guam,0,0,0,0,0,0,0.785,0
Guatemala,0.901,0,0.908,0.918,0.904,0.932,0.959,0
Guinea,0,0,0,0.697,0,0.905,0.781,0.713
Guinea-Bissau,0,0,0,0,0,0.783,0.8,0
Guyana,0,0,0,0,0,0.719,0.658,0
Haiti,0,0,0,0,0.981,0.897,0.961,0
Honduras,0,0,0,0.709,0.775,0.931,0.975,0.683
"Hong Kong, China",0,0,0,0,0,0.666,0.812,0
Hungary,0.624,0,0,0,0,0.76,0.69,0
Iceland,0,0,0,0.735,0,0.653,0,0
India,0,0.917,0,0.826,0.942,0.998,0.996,0.666
Indonesia,0,0,0.973,0.91,0.985,0.991,0.944,0.782
Iran,0.85,0,0,0.669,0.956,0.966,0.899,0
Iraq,0,0.882,0,0,0.797,0.936,0.739,0.753
Ireland,0,0,0,0,0,0.676,0.761,0
Israel,0,0,0,0,0,0.686,0,0.927
Italy,0,0,0.698,0.722,0.935,0.863,0.791,0.795
Jamaica,0,0,0,0,0,0.658,0.822,0
Japan,0.673,0,0.706,0.958,0.97,0.962,0.988,0.65
Jordan,0,0,0,0,0,0.78,0.681,0
Kazakhstan,0.717,0,0,0,0,0.924,0,0.661
Kenya,0,0.618,0,0.743,0.659,0.98,0.799,0.735
Kiribati,0,0,0,0,0,0.665,0.777,0
Korea,0.818,0,0,0.767,0.758,0.875,0.844,0.831
Kosovo,0,0,0,0,0,0.74,0,0
Kyrgyzstan,0,0,0,0.803,0.837,0.693,0,0
Lao PDR,0,0,0,0.695,0.675,0.922,0.943,0
Latvia,0,0,0,0,0,0,0,0.64
Lebanon,0,0,0,0,0,0.751,0.805,0.694
Lesotho,0,0,0,0,0,0.836,0.791,0
Liberia,0,0,0,0.704,0,0.893,0.738,0
Libya,0,0,0,0,0,0.832,0,0
Lithuania,0,0,0,0,0,0,0,0
Luxembourg,0,0,0,0,0,0.721,0.686,0
"Macao, China",0,0,0,0,0,0,0.83,0
Madagascar,0,0.814,0,0.706,0,0.913,0.976,0.72
Malawi,0,0,0,0.627,0.874,0.963,0.938,0
Malaysia,0,0,0,0.801,0,0.972,0.794,0
Maldives,0,0,0,0,0,0.703,0.662,0
Mali,0,0,0,0,0,0.933,0,0
