source,target,value
Central and Southern Asia,Skilled,536654
Central and Southern Asia,Other permanent,50
Central and Southern Asia,Humanitarian,69458
Central and Southern Asia,Family,158204
Eastern and South-Eastern Asia,Skilled,511461
Eastern and South-Eastern Asia,Other permanent,227
Eastern and South-Eastern Asia,Humanitarian,36359
Eastern and South-Eastern Asia,Family,405860
Europe and Northern America,Skilled,374041
Europe and Northern America,Other permanent,720
Europe and Northern America,Humanitarian,10517
Europe and Northern America,Family,230711
Latin America and Caribbean,Skilled,33723
Latin America and Caribbean,Other permanent,46
Latin America and Caribbean,Humanitarian,843
Latin America and Caribbean,Family,30372
Middle East and North Africa,Skilled,3244
Middle East and North Africa,Other permanent,49
Middle East and North Africa,Humanitarian,2236
Middle East and North Africa,Family,7156
Northern Africa and Western Asia,Skilled,39044
Northern Africa and Western Asia,Other permanent,11
Northern Africa and Western Asia,Humanitarian,105412
Northern Africa and Western Asia,Family,46188
Oceania,Skilled,99754
Oceania,Other permanent,101
Oceania,Humanitarian,5934
Oceania,Family,28001
Sub-Saharan Africa,Skilled,154347
Sub-Saharan Africa,Other permanent,12
Sub-Saharan Africa,Humanitarian,47921
Sub-Saharan Africa,Family,47193
Skilled,New South Wales,537121
Family,New South Wales,354728
Humanitarian,New South Wales,95797
Other permanent,New South Wales,448
Skilled,Victoria,497157
Family,Victoria,272262
Humanitarian,Victoria,94342
Other permanent,Victoria,305
Skilled,Queensland,279214
Family,Queensland,150164
Humanitarian,Queensland,35958
Other permanent,Queensland,170
Skilled,South Australia,108138
Family,South Australia,46186
Humanitarian,South Australia,24261
Other permanent,South Australia,69
Skilled,Western Australia,267299
Family,Western Australia,106795
Humanitarian,Western Australia,24521
Other permanent,Western Australia,193
Skilled,Tasmania,17491
Family,Tasmania,7879
Humanitarian,Tasmania,3841
Other permanent,Tasmania,21
Skilled,Northern Territory,16168
Family,Northern Territory,7372
Humanitarian,Northern Territory,1266
Other permanent,Northern Territory,6
Skilled,Australian Capital Territory,38402
Family,Australian Capital Territory,16740
Humanitarian,Australian Capital Territory,3551
Other permanent,Australian Capital Territory,8
Skilled,Other Territories,54
Family,Other Territories,230
Humanitarian,Other Territories,8
Other permanent,Other Territories,0
